name,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate
Wellington New Zealand Temple,New Zealand,CONSTRUCTION,Construction,4148120,wellington-new-zealand-temple,,,,
Tallahassee Florida Temple,"Tallahassee, Florida, United States",OPERATING,"December 8, 2024",4130711,tallahassee-florida-temple,Tallahassee, Florida, United States,"December 8, 2024"
Uyo Nigeria Temple,Nigeria,ANNOUNCED,Announced,4171159,uyo-nigeria-temple,,,,
Bahía Blanca Argentina Temple,Argentina,OPERATING,"November 23, 2025",4130710,bahia-blanca-argentina-temple,,,,"November 23, 2025"
Porto Portugal Temple,Portugal,ANNOUNCED,Announced,4171158,porto-portugal-temple,,,,
Campo Grande Brazil Temple,Brazil,ANNOUNCED,Announced,4171157,campo-grande-brazil-temple,,,,
Rivera Uruguay Temple,Uruguay,ANNOUNCED,Announced,4171156,rivera-uruguay-temple,,,,
Ulaanbaatar Mongolia Temple,Mongolia,ANNOUNCED,Announced,4160404,ulaanbaatar-mongolia-temple,,,,
Chorrillos Peru Temple,Peru,ANNOUNCED,Announced,4171155,chorrillos-peru-temple,,,,
Vancouver Washington Temple,"Washington, United States",CONSTRUCTION,Construction,4160403,vancouver-washington-temple,Washington,, United States,
Fairbanks Alaska Temple,"Alaska, United States",ANNOUNCED,Announced,4160402,fairbanks-alaska-temple,Alaska,, United States,
Reynosa Mexico Temple,Mexico,ANNOUNCED,Announced,4171154,reynosa-mexico-temple,,,,
Kahului Hawaii Temple,"Hawaii, United States",ANNOUNCED,Announced,4160401,kahului-hawaii-temple,Hawaii,, United States,
Spanish Fork Utah Temple,"Utah, United States",ANNOUNCED,Announced,4171153,spanish-fork-utah-temple,Utah,, United States,
Flagstaff Arizona Temple,"Arizona, United States",ANNOUNCED,Announced,4171152,flagstaff-arizona-temple,Arizona,, United States,
Roanoke Virginia Temple,"Virginia, United States",ANNOUNCED,Announced,4160400,roanoke-virginia-temple,Virginia,, United States,
Caldwell Idaho Temple,"Idaho, United States",ANNOUNCED,Announced,4171151,caldwell-idaho-temple,Idaho,, United States,
Tulsa Oklahoma Temple,"Oklahoma, United States",ANNOUNCED,Announced,4160399,tulsa-oklahoma-temple,Oklahoma,, United States,
Colorado Springs Colorado Temple,"Colorado, United States",ANNOUNCED,Announced,4160398,colorado-springs-colorado-temple,Colorado,, United States,
Osaka Japan Temple,Japan,ANNOUNCED,Announced,4160397,osaka-japan-temple,,,,
Laoag Philippines Temple,Philippines,ANNOUNCED,Announced,4160396,laoag-philippines-temple,,,,
Mbuji-Mayi Democratic Republic of the Congo Temple,Democratic Republic of the Congo,ANNOUNCED,Announced,4160395,mbuji-mayi-democratic-republic-of-the-congo-temple,,,,
Luanda Angola Temple,Angola,ANNOUNCED,Announced,4160394,luanda-angola-temple,,,,
Cape Coast Ghana Temple,Ghana,ANNOUNCED,Announced,4160393,cape-coast-ghana-temple,,,,
Calabar Nigeria Temple,Nigeria,ANNOUNCED,Announced,4160392,calabar-nigeria-temple,,,,
João Pessoa Brazil Temple,Brazil,ANNOUNCED,Announced,4160391,joao-pessoa-brazil-temple,,,,
Star Valley Wyoming Temple,"Afton, Wyoming, United States",OPERATING,"October 30, 2016",4012421,star-valley-wyoming-temple,Afton, Wyoming, United States,"October 30, 2016"
Barranquilla Colombia Temple,"Barranquilla, Colombia",OPERATING,"December 9, 2018",4012420,barranquilla-colombia-temple,Barranquilla,, Colombia,"December 9, 2018"
Goiânia Brazil Temple,Brazil,ANNOUNCED,Announced,4160390,goiania-brazil-temple,,,,
Heber Valley Utah Temple,"Utah, United States",CONSTRUCTION,Construction,4142982,heber-valley-utah-temple,Utah,, United States,
Russia Temple,Russia,ANNOUNCED,Announced,4108676,russia-temple,,,,
Teton River Idaho Temple,"Idaho, United States",CONSTRUCTION,Construction,4142981,teton-river-idaho-temple,Idaho,, United States,
Viña del Mar Chile Temple,Chile,ANNOUNCED,Announced,4160389,vina-del-mar-chile-temple,,,,
Cody Wyoming Temple,"Wyoming, United States",CONSTRUCTION,Construction,4142980,cody-wyoming-temple,Wyoming,, United States,
Huancayo Peru Temple,Peru,ANNOUNCED,Announced,4160388,huancayo-peru-temple,,,,
Fort Worth Texas Temple,"Texas, United States",CONSTRUCTION,Construction,4142979,fort-worth-texas-temple,Texas,, United States,
Layton Utah Temple,"Layton, Utah, United States",OPERATING,"June 16, 2024",4108674,layton-utah-temple,Layton, Utah, United States,"June 16, 2024"
Paris France Temple,"Le Chesnay, France",OPERATING,"May 21, 2017",4012417,paris-france-temple,Le Chesnay,, France,"May 21, 2017"
Piura Peru Temple,Peru,ANNOUNCED,Announced,4160387,piura-peru-temple,,,,
Cancún Mexico Temple,Mexico,ANNOUNCED,Announced,4160386,cancun-mexico-temple,,,,
Provo City Center Temple,"Provo, Utah, United States",OPERATING,"March 20, 2016",4012416,provo-city-center-temple,Provo, Utah, United States,"March 20, 2016"
Richmond Virginia Temple,"Glen Allen, Virginia, United States",OPERATING,"May 7, 2023",4108675,richmond-virginia-temple,Glen Allen, Virginia, United States,"May 7, 2023"
Santiago West Chile Temple,Chile,CONSTRUCTION,Construction,4142978,santiago-west-chile-temple,,,,
